This list contains all games supported by FinalBurn Neo.

12109 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					|
| flagrall	|  	| '96 Flag Rally					| 		| 1996	| unknown	| Miscellaneous	| 					|
| 99lstwarb	|  	| '99: The Last War (bootleg)				| repulse	| 1985	| bootleg	| Kyugo		| Bad colors in some scenes		|
| 99lstwark	|  	| '99: The Last War (Kyugo)				| repulse	| 1985	| Crux / Kyugo	| Kyugo		| 					|
| 99lstwar	|  	| '99: The Last War (set 1)				| repulse	| 1985	| Crux / Proma	| Kyugo		| 					|
| 99lstwara	|  	| '99: The Last War (set 2)				| repulse	| 1985	| Crux / Proma	| Kyugo		| 					|
| msx_007tld	|  	| 007 - The Living Daylights (Euro)			| 		| 1987	| Domark	| MSX		| 					|
| sg1k_jb007a	|  	| 007 James Bond (Jpn, v2.6, OMV)			| sg1k_jb007	| 1984	| Tsukuda Origin| Sega SG-1000	| 					|
| sg1k_jb007	|  	| 007 James Bond (Jpn, v2.7, OMV)			| 		| 1984	| Tsukuda Origin| Sega SG-1000	| 					|
| sg1k_jb007t	|  	| 007 James Bond (Tw)					| sg1k_jb007	| 1984?	| Aaronix	| Sega SG-1000	| 					|
| 10yard85	|  	| 10-Yard Fight '85 (US, Taito license)			| 10yard	| 1985	| Irem (Taito li| M58		| 					|
| 10yardj	|  	| 10-Yard Fight (Japan)					| 10yard	| 1983	| Irem		| M58		| 					|
| msx_10yard	|  	| 10-Yard Fight (Jpn)					| 		| 1986	| Irem		| MSX		| 					|
| msx_10yarda	|  	| 10-Yard Fight (Jpn, Alt)				| msx_10yard	| 1986	| Irem		| MSX		| 					|
| 10yard	|  	| 10-Yard Fight (World, set 1)				| 		| 1983	| Irem		| M58		| 					|
| gtmro		|  	| 1000 Miglia: Great 1000 Miles Rally (94/05/10)	| gtmr		| 1994	| Kaneko	| Kaneko16	| 					|
| gtmrb		|  	| 1000 Miglia: Great 1000 Miles Rally (94/05/26)	| gtmr		| 1994	| Kaneko	| Kaneko16	| 					|
| gtmra		|  	| 1000 Miglia: Great 1000 Miles Rally (94/06/13)	| gtmr		| 1994	| Kaneko	| Kaneko16	| 					|
| gtmr		|  	| 1000 Miglia: Great 1000 Miles Rally (94/07/18)	| 		| 1994	| Kaneko	| Kaneko16	| 					|
| md_12in1	|  	| 12 in 1						| 		| 199?	| <unlicensed>	| Sega Megadrive| 					|
| md_13mahjan	|  	| 13 Ma Jiang - 98 Mei Shao Nu Pian (Chi)		| 		| 1998	| BBD		| Sega Megadrive| 					|
| md_16tongnk	|  	| 16 Ton (Jpn, Game no Kandume MegaCD Rip)		| md_16ton	| 1991	| Sega		| Sega Megadrive| 					|
| md_16ton	|  	| 16 Ton (Jpn, SegaNet)					| 		| 1991	| Sega		| Sega Megadrive| 					|
| md_16zhan	|  	| 16 Zhang Ma Jiang (Chi)				| 		| 199?	| <unlicensed>	| Sega Megadrive| 					|
| cprogolf18	|  	| 18 Challenge Pro Golf (DECO Cassette) (Japan)		| cprogolf	| 1982	| Data East Corp| Cassette Syste| 					|
| progolf	|  	| 18 Holes Pro Golf (set 1)				| 		| 1981	| Data East Corp| Miscellaneous	| 					|
| progolfa	| D NW	| 18 Holes Pro Golf (set 2)				| progolf	| 1981	| Data East Corp| Miscellaneous	| 					|
| spec_180	|  	| 180 (128K)						| 		| 1986	| Mastertronic A| ZX Spectrum	| 					|
| spec_180_48	|  	| 180 (48K)						| spec_180	| 1986	| Mastertronic A| ZX Spectrum	| 					|
| msx_180	|  	| 180 Degrees						| 		| 1986	| MAD		| MSX		| 					|
| 1941u		|  	| 1941 - Counter Attack (900227 USA)			| 1941		| 1990	| Capcom	| CPS1		| 					|
| 1941		|  	| 1941 - Counter Attack (900227 World)			| 		| 1990	| Capcom	| CPS1		| 					|
